timestamp,query,level,raw,new,dups,total_unique,error
"2026-08-03 08:58:04,090",مرکز تیپاکس پاوه,gap_probe,1,0,1,816,
"2026-08-03 09:06:44,627",نمایندگی تیپاکس اصفهان خمینی‌شهر,district,2,0,2,817,
"2026-08-03 09:07:37,042",نمایندگی تیپاکس اصفهان خواجو,district,2,0,2,817,
"2026-08-03 09:08:29,528",نمایندگی تیپاکس اصفهان سی‌وسه‌پل,district,16,0,16,817,
"2026-08-03 09:08:45,678",نمایندگی تیپاکس اصفهان ملک‌شهر,district,1,0,1,817,
"2026-08-03 09:32:07,196",نمایندگی تیپاکس تبریز آبرسان,district,7,0,7,819,
"2026-08-03 09:32:59,698",نمایندگی تیپاکس تبریز الهیه,district,10,0,10,819,
"2026-08-03 09:33:52,203",نمایندگی تیپاکس تبریز باغ‌میشه,district,6,0,6,819,
"2026-08-03 09:53:15,342",تیپاکس تهران صادقیه,district,1,0,1,829,
"2026-08-03 09:53:31,510",تیپاکس تهران نارمک,district,1,0,1,829,
"2026-08-03 09:54:24,015",تیپاکس تهران نیاوران,district,2,0,2,829,
,[SUMMARY] executed=461 recovered_rows=85 unique=829,summary,1095,597,498,829,partial_log_only
