brand,overall_rating,total_reviews,positive_percent,negative_percent,complaint_distribution,province_ranking,city_ranking,best_branches,worst_branches,monthly_trend,review_growth
AloPeyk,3.2564,39,56.41,35.9,"{""Customer Support"": 3, ""Delay"": 1, ""Tracking"": 1, ""Other"": 7, ""Staff Behavior"": 1, ""Mobile App"": 1}","[[""فارس"", 4.143, 7], [""اصفهان"", 4.125, 8], [""خراسان رضوی"", 4.1, 10], [""تهران"", 1.769, 13]]","[[""اصفهان"", 4.125, 8], [""تهران"", 1.769, 13]]","[[""پیک موتوری ثابت"", 5.0], [""الوپیک ونک"", 5.0], [""الوپیک شیراز"", 4.1429], [""Alopeyk"", 4.1], [""الوپیک اصفهان"", 4.0]]","[[""App"", 1.0], [""Alopeyk"", 1.5], [""الوپیک"", 1.5], [""الوپیک اصفهان"", 4.0], [""Alopeyk"", 4.1]]","[{""month"": ""2026-06"", ""reviews"": 1, ""avg_rating"": 1.0}, {""month"": ""2026-07"", ""reviews"": 1, ""avg_rating"": 5.0}]","[{""month"": ""2026-06"", ""reviews"": 1, ""delta"": 1}, {""month"": ""2026-07"", ""reviews"": 1, ""delta"": 0}]"
Chapar,2.4831,89,39.33,52.81,"{""Staff Behavior"": 5, ""Mobile App"": 3, ""Other"": 17, ""Delay"": 12, ""Tracking"": 2, ""Customer Support"": 1, ""Pricing"": 4, ""Damaged Package"": 3}","[[""مازندران"", 4.667, 3], [""فارس"", 3.25, 8], [""آذربایجان شرقی"", 3.111, 9], [""کرمان"", 3.0, 10], [""گیلان"", 3.0, 2]]","[[""شیراز"", 3.25, 8], [""تبریز"", 3.111, 9], [""کرمان"", 3.0, 10], [""F9V6+PG8"", 3.0, 1], [""تهران"", 2.067, 45]]","[[""موسسه توریستی چاپار"", 5.0], [""کالا رسانان چاپار ساری"", 4.6667], [""چاپار مرکز"", 4.0], [""App"", 4.0], [""Shiraz"", 3.25]]","[[""کالارسانان چاپار پیروزی"", 1.0], [""چاپار مطهری (کالارسان چاپار مطهری)"", 1.0], [""کالا رسانان چاپار"", 1.5], [""شرکت کالا رسانان چاپار"", 1.5], [""شرکت کالارسانان چاپار"", 1.7]]","[{""month"": ""2026-05"", ""reviews"": 11, ""avg_rating"": 3.273}, {""month"": ""2026-06"", ""reviews"": 6, ""avg_rating"": 2.667}, {""month"": ""2026-07"", ""reviews"": 8, ""avg_rating"": 3.5}]","[{""month"": ""2026-05"", ""reviews"": 11, ""delta"": 11}, {""month"": ""2026-06"", ""reviews"": 6, ""delta"": -5}, {""month"": ""2026-07"", ""reviews"": 8, ""delta"": 2}]"
Iran Post,2.5,2,0.0,50.0,"{""Mobile App"": 1}","[[""اصفهان"", 3.0, 1]]","[[""اصفهان"", 3.0, 1]]","[[""پست مرکزی اصفهان"", 3.0], [""Iran App"", 2.0]]","[[""Iran App"", 2.0], [""پست مرکزی اصفهان"", 3.0]]","[{""month"": ""2026-07"", ""reviews"": 2, ""avg_rating"": 2.5}]","[{""month"": ""2026-07"", ""reviews"": 2, ""delta"": 2}]"
Mahex,2.6739,46,41.3,56.52,"{""Pricing"": 1, ""Other"": 11, ""Mobile App"": 3, ""Delay"": 3, ""Staff Behavior"": 4, ""Customer Support"": 3, ""Damaged Package"": 1}","[[""اردبیل"", 5.0, 3], [""Marjan Alley"", 5.0, 1], [""خوزستان"", 5.0, 1], [""تهران"", 2.412, 34], [""آذربایجان شرقی"", 2.4, 5]]","[[""اردبیل"", 5.0, 3], [""خیابان فاطمی خیابان علیزاده"", 5.0, 1], [""تهران"", 2.412, 34], [""ری"", 2.4, 5], [""شیراز"", 1.0, 1]]","[[""ماهکس لاله زار"", 5.0], [""ماهکس خلخال"", 5.0], [""ماهکس فاطمی"", 5.0], [""ماهکس انقلاب"", 5.0], [""ماهکس شمال خوزستان"", 5.0]]","[[""پست ماهکس"", 1.0], [""ماهکس شیراز"", 1.0], [""ماهکس بهار"", 1.6667], [""Mahex"", 2.0526], [""jannat abad"", 2.3333]]","[{""month"": ""2026-03"", ""reviews"": 1, ""avg_rating"": 3.0}, {""month"": ""2026-05"", ""reviews"": 1, ""avg_rating"": 1.0}]","[{""month"": ""2026-03"", ""reviews"": 1, ""delta"": 1}, {""month"": ""2026-05"", ""reviews"": 1, ""delta"": 0}]"
Tipax,2.3735,1368,37.35,60.45,"{""Lost Package"": 10, ""Other"": 549, ""Delay"": 91, ""Mobile App"": 23, ""Pricing"": 44, ""Staff Behavior"": 72, ""Tracking"": 8, ""Damaged Package"": 20, ""Customer Support"": 10}","[[""Hafez St"", 5.0, 2], [""Fowqani"", 5.0, 1], [""خیابان آرام"", 4.333, 3], [""ده متری اول"", 4.2, 10], [""، خ دانش، جنب پارک"", 4.0, 3]]","[[""سلماس"", 5.0, 3], [""قوچان"", 5.0, 2], [""Tajrish"", 5.0, 1], [""Ahvaz، ‫بلوار ناصح شرقی،دفتر تیپاکس، بلوار معلم، پلاک ابتدای"", 5.0, 1], [""رشت"", 4.5, 4]]","[[""تیپاکس منجیل"", 5.0], [""تیپاکس مرکزی صدرا"", 5.0], [""تیپاکس پل تمدن"", 5.0], [""سرویس پوینت تیپاکس بازار عبدل آباد"", 5.0], [""تیپاکس فسا سرو"", 5.0]]","[[""TIHUB"", 1.0], [""TIPAX"", 1.0], [""تیپاکس نظرآباد"", 1.0], [""Central Office(انبار مرکزی شیراز)"", 1.0], [""تیپاکس پیروزی رضاشهر"", 1.0]]","[{""month"": ""2026-04"", ""reviews"": 1, ""avg_rating"": 2.0}, {""month"": ""2026-05"", ""reviews"": 6, ""avg_rating"": 3.0}, {""month"": ""2026-06"", ""reviews"": 13, ""avg_rating"": 2.923}, {""month"": ""2026-07"", ""reviews"": 15, ""avg_rating"": 2.933}]","[{""month"": ""2026-04"", ""reviews"": 1, ""delta"": 1}, {""month"": ""2026-05"", ""reviews"": 6, ""delta"": 5}, {""month"": ""2026-06"", ""reviews"": 13, ""delta"": 7}, {""month"": ""2026-07"", ""reviews"": 15, ""delta"": 2}]"
